Alloy System,Composition,AM_beg,AM_end,Critical Cooling Rate,Element A,Element B,Xtal A,Xtal B,rA,rB,Amorphous Range,Glassy Alloys,Max deltaq / PP,deltaH,r_bar,size_diff,size_ratio,size_range,DeltaH,cohesiveE_A,cohesiveE_B,H_norm,CrystalMismatch0,CrystalMismatch1,LiquidusT,MeltingT_A,MeltingT_B,Tmean
AlNi,0.74,0.21465,0.33849,10.772448056201501,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,129.9,0.0506506055414811,1.119047619047619,15.0,-8.4656,3.39,4.44,-4.2986,0.19240000000000002,5.5344,1650.54,933.15,1728.15,1521.45
AlNi,0.75,0.21465,0.33849,10.875766360710369,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,129.75,0.05005927189505423,1.119047619047619,15.0,-8.25,3.39,4.44,-4.0725,0.1875,5.75,1657.5500000000002,933.15,1728.15,1529.4
AlNi,0.76,0.21465,0.33849,10.980750129916366,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,129.6,0.04943091783347832,1.119047619047619,15.0,-8.025599999999999,3.39,4.44,-3.8375999999999983,0.1824,5.974400000000001,1647.14,933.15,1728.15,1537.35
AlNi,0.77,0.21465,0.33849,11.087399363819499,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,129.45,0.04876390593858825,1.119047619047619,15.0,-7.7924,3.39,4.44,-3.5938999999999997,0.17709999999999998,6.2076,1666.17,933.15,1728.15,1545.3
AlNi,0.78,0.21465,0.33849,11.19571406241976,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,129.3,0.04805641572438047,1.119047619047619,15.0,-7.550399999999999,3.39,4.44,-3.3413999999999984,0.17159999999999997,6.449600000000001,1670.96,933.15,1728.15,1553.25
AlNi,0.79,0.21465,0.33849,11.305694225717158,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,129.15,0.04730641545741298,1.119047619047619,15.0,-7.2996,3.39,4.44,-3.0801,0.1659,6.7004,1671.83,933.15,1728.15,1561.2
AlNi,0.8,0.21465,0.33849,11.417339853711685,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,129.0,0.04651162790697673,1.119047619047619,15.0,-7.039999999999999,3.39,4.44,-2.8099999999999987,0.15999999999999998,6.960000000000001,1679.58,933.15,1728.15,1569.15
AlNi,0.81,0.21465,0.33849,11.530650946403345,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,128.85,0.0456694883490874,1.119047619047619,15.0,-6.7715999999999985,3.39,4.44,-2.5310999999999977,0.15389999999999995,7.2284000000000015,1682.4499999999998,933.15,1728.15,1577.1000000000001
AlNi,0.8200000000000001,0.21465,0.33849,11.645627503792138,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,128.7,0.04477709256946053,1.119047619047619,15.0,-6.494399999999999,3.39,4.44,-2.2433999999999985,0.14759999999999995,7.505600000000001,1686.2800000000002,933.15,1728.15,1585.05
AlNi,0.8300000000000001,0.21465,0.33849,11.762269525878061,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,128.55,0.04383113178761481,1.119047619047619,15.0,-6.208399999999998,3.39,4.44,-1.9468999999999985,0.14109999999999995,7.791600000000002,1690.11,933.15,1728.15,1593.0
AlNi,0.84,0.21465,0.33849,11.880577012661117,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,128.4,0.042827810233232094,1.119047619047619,15.0,-5.9136000000000015,3.39,4.44,-1.6416000000000013,0.13440000000000002,8.086399999999998,1700.75,933.15,1728.15,1600.95
AlNi,0.85,0.21465,0.33849,12.000549964141307,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,128.25,0.041762739348203806,1.119047619047619,15.0,-5.61,3.39,4.44,-1.3275000000000006,0.1275,8.39,1704.9899999999998,933.15,1728.15,1608.9
AlNi,0.86,0.21465,0.33849,12.122188380318626,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,128.1,0.040630799936528045,1.119047619047619,15.0,-5.2976,3.39,4.44,-1.0046,0.12040000000000001,8.7024,1708.79,933.15,1728.15,1616.8500000000001
